PRESIDENT 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,State,RaceDate,CensusPop,Area,RedistrictedDate,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Alabama,20041102,"39,593",CHILTON,N/A,"16,693","12,829","Bush, George W.",Incumbent,"3,778","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,86,"9,051",R,76.85,22.63,0.00,0.52,77.25,22.75,,,
President,Alabama,20041102,"15,922",CHOCTAW,N/A,"7,227","3,897","Bush, George W.",Incumbent,"3,303","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,27,594,R,53.92,45.70,0.00,0.37,54.13,45.88,,,
President,Alabama,20041102,"27,867",CLARKE,N/A,"11,394","6,730","Bush, George W.",Incumbent,"4,627","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,37,"2,103",R,59.07,40.61,0.00,0.32,59.26,40.74,,,
President,Alabama,20041102,"14,254",CLAY,N/A,"6,576","4,624","Bush, George W.",Incumbent,"1,893","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,59,"2,731",R,70.32,28.79,0.00,0.90,70.95,29.05,,,
President,Alabama,20041102,"14,123",CLEBURNE,N/A,"5,798","4,370","Bush, George W.",Incumbent,"1,391","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,37,"2,979",R,75.37,23.99,0.00,0.64,75.85,24.15,,,
President,Alabama,20041102,"43,615",COFFEE,N/A,"17,616","13,019","Bush, George W.",Incumbent,"4,480","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,117,"8,539",R,73.90,25.43,0.00,0.66,74.40,25.60,,,
President,Alabama,20041102,"54,984",COLBERT,N/A,"23,935","13,188","Bush, George W.",Incumbent,"10,598","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,149,"2,590",R,55.10,44.28,0.00,0.62,55.44,44.56,,,
President,Alabama,20041102,"14,089",CONECUH,N/A,"6,021","3,271","Bush, George W.",Incumbent,"2,719","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,31,552,R,54.33,45.16,0.00,0.51,54.61,45.39,,,
President,Alabama,20041102,"12,202",COOSA,N/A,"5,001","2,905","Bush, George W.",Incumbent,"2,055","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,41,850,R,58.09,41.09,0.00,0.82,58.57,41.43,,,
President,Alabama,20041102,"37,631",COVINGTON,N/A,"14,627","11,119","Bush, George W.",Incumbent,"3,423","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,85,"7,696",R,76.02,23.40,0.00,0.58,76.46,23.54,,,
President,Alabama,20041102,"13,665",CRENSHAW,N/A,"5,500","3,777","Bush, George W.",Incumbent,"1,698","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,25,"2,079",R,68.67,30.87,0.00,0.45,68.99,31.01,,,
President,Alabama,20041102,"77,483",CULLMAN,N/A,"35,191","26,818","Bush, George W.",Incumbent,"8,045","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,328,"18,773",R,76.21,22.86,0.00,0.93,76.92,23.08,,,
President,Alabama,20041102,"49,129",DALE,N/A,"18,231","13,621","Bush, George W.",Incumbent,"4,484","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,126,"9,137",R,74.71,24.60,0.00,0.69,75.23,24.77,,,
President,Alabama,20041102,"46,365",DALLAS,N/A,"18,573","7,335","Bush, George W.",Incumbent,"11,175","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,63,"3,840",D,39.49,60.17,0.00,0.34,39.63,60.37,,,
President,Alabama,20041102,"64,452",DEKALB,N/A,"24,169","16,904","Bush, George W.",Incumbent,"7,092","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,173,"9,812",R,69.94,29.34,0.00,0.72,70.45,29.55,,,
President,Alabama,20041102,"65,874",ELMORE,N/A,"28,680","22,056","Bush, George W.",Incumbent,"6,471","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,153,"15,585",R,76.90,22.56,0.00,0.53,77.32,22.68,,,
President,Alabama,20041102,"38,440",ESCAMBIA,N/A,"12,395","8,513","Bush, George W.",Incumbent,"3,814","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,68,"4,699",R,68.68,30.77,0.00,0.55,69.06,30.94,,,
President,Alabama,20041102,"103,459",ETOWAH,N/A,"42,680","26,999","Bush, George W.",Incumbent,"15,328","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,353,"11,671",R,63.26,35.91,0.00,0.83,63.79,36.21,,,
President,Alabama,20041102,"18,495",FAYETTE,N/A,"8,002","5,534","Bush, George W.",Incumbent,"2,408","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,60,"3,126",R,69.16,30.09,0.00,0.75,69.68,30.32,,,
President,Alabama,20041102,"31,223",FRANKLIN,N/A,"12,269","7,690","Bush, George W.",Incumbent,"4,514","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,65,"3,176",R,62.68,36.79,0.00,0.53,63.01,36.99,,,
President,Alabama,20041102,"25,764",GENEVA,N/A,"10,520","8,342","Bush, George W.",Incumbent,"2,113","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,65,"6,229",R,79.30,20.09,0.00,0.62,79.79,20.21,,,
President,Alabama,20041102,"9,974",GREENE,N/A,"4,748",958,"Bush, George W.",Incumbent,"3,764","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,26,"2,806",D,20.18,79.28,0.00,0.55,20.29,79.71,,,
President,Alabama,20041102,"17,185",HALE,N/A,"7,945","3,281","Bush, George W.",Incumbent,"4,631","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,33,"1,350",D,41.30,58.29,0.00,0.42,41.47,58.53,,,
President,Alabama,20041102,"16,310",HENRY,N/A,"7,361","4,881","Bush, George W.",Incumbent,"2,452","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,28,"2,429",R,66.31,33.31,0.00,0.38,66.56,33.44,,,
President,Alabama,20041102,"88,787",HOUSTON,N/A,"36,201","26,874","Bush, George W.",Incumbent,"9,144","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,183,"17,730",R,74.24,25.26,0.00,0.51,74.61,25.39,,,
President,Alabama,20041102,"53,926",JACKSON,N/A,"20,321","11,534","Bush, George W.",Incumbent,"8,635","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,152,"2,899",R,56.76,42.49,0.00,0.75,57.19,42.81,,,
President,Alabama,20041102,"662,047",JEFFERSON,N/A,"292,967","158,680","Bush, George W.",Incumbent,"132,286","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,"2,001","26,394",R,54.16,45.15,0.00,0.68,54.54,45.46,,,
President,Alabama,20041102,"15,904",LAMAR,N/A,"6,885","4,894","Bush, George W.",Incumbent,"1,956","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,35,"2,938",R,71.08,28.41,0.00,0.51,71.45,28.55,,,
President,Alabama,20041102,"87,966",LAUDERDALE,N/A,"37,107","22,161","Bush, George W.",Incumbent,"14,628","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,318,"7,533",R,59.72,39.42,0.00,0.86,60.24,39.76,,,
President,Alabama,20041102,"34,803",LAWRENCE,N/A,"14,001","7,730","Bush, George W.",Incumbent,"6,155","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,116,"1,575",R,55.21,43.96,0.00,0.83,55.67,44.33,,,
President,Alabama,20041102,"115,092",LEE,N/A,"44,610","27,972","Bush, George W.",Incumbent,"16,227","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,411,"11,745",R,62.70,36.38,0.00,0.92,63.29,36.71,,,
President,Alabama,20041102,"65,676",LIMESTONE,N/A,"29,073","19,702","Bush, George W.",Incumbent,"9,126","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,245,"10,576",R,67.77,31.39,0.00,0.84,68.34,31.66,,,
President,Alabama,20041102,"13,473",LOWNDES,N/A,"6,021","1,786","Bush, George W.",Incumbent,"4,233","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,2,"2,447",D,29.66,70.30,0.00,0.03,29.67,70.33,,,
President,Alabama,20041102,"24,105",MACON,N/A,"9,407","1,570","Bush, George W.",Incumbent,"7,800","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,37,"6,230",D,16.69,82.92,0.00,0.39,16.76,83.24,,,
President,Alabama,20041102,"276,700",MADISON,N/A,"131,062","77,173","Bush, George W.",Incumbent,"52,644","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,"1,245","24,529",R,58.88,40.17,0.00,0.95,59.45,40.55,,,
President,Alabama,20041102,"22,539",MARENGO,N/A,"10,322","5,255","Bush, George W.",Incumbent,"5,037","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,30,218,R,50.91,48.80,0.00,0.29,51.06,48.94,,,
President,Alabama,20041102,"31,214",MARION,N/A,"12,875","8,983","Bush, George W.",Incumbent,"3,808","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,84,"5,175",R,69.77,29.58,0.00,0.65,70.23,29.77,,,
President,Alabama,20041102,"82,231",MARSHALL,N/A,"31,491","22,783","Bush, George W.",Incumbent,"8,452","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,256,"14,331",R,72.35,26.84,0.00,0.81,72.94,27.06,,,
President,Alabama,20041102,"399,843",MOBILE,N/A,"156,771","92,014","Bush, George W.",Incumbent,"63,732","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,"1,025","28,282",R,58.69,40.65,0.00,0.65,59.08,40.92,,,
President,Alabama,20041102,"24,324",MONROE,N/A,"9,534","5,831","Bush, George W.",Incumbent,"3,666","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,37,"2,165",R,61.16,38.45,0.00,0.39,61.40,38.60,,,
President,Alabama,20041102,"223,510",MONTGOMERY,N/A,"89,650","44,097","Bush, George W.",Incumbent,"45,160","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,393,"1,063",D,49.19,50.37,0.00,0.44,49.40,50.60,,,
President,Alabama,20041102,"111,064",MORGAN,N/A,"47,007","32,477","Bush, George W.",Incumbent,"14,131","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,399,"18,346",R,69.09,30.06,0.00,0.85,69.68,30.32,,,
President,Alabama,20041102,"11,861",PERRY,N/A,"5,523","1,738","Bush, George W.",Incumbent,"3,767","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,18,"2,029",D,31.47,68.21,0.00,0.33,31.57,68.43,,,
President,Alabama,20041102,"20,949",PICKENS,N/A,"9,132","5,170","Bush, George W.",Incumbent,"3,915","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,47,"1,255",R,56.61,42.87,0.00,0.51,56.91,43.09,,,
President,Alabama,20041102,"29,605",PIKE,N/A,"11,883","7,483","Bush, George W.",Incumbent,"4,334","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,66,"3,149",R,62.97,36.47,0.00,0.56,63.32,36.68,,,
President,Alabama,20041102,"22,380",RANDOLPH,N/A,"9,001","6,127","Bush, George W.",Incumbent,"2,817","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,57,"3,310",R,68.07,31.30,0.00,0.63,68.50,31.50,,,
President,Alabama,20041102,"49,756",RUSSELL,N/A,"16,809","8,337","Bush, George W.",Incumbent,"8,375","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,97,38,D,49.60,49.82,0.00,0.58,49.89,50.11,,,
President,Alabama,20041102,"143,293",SHELBY,N/A,"78,906","63,435","Bush, George W.",Incumbent,"14,850","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,621,"48,585",R,80.39,18.82,0.00,0.79,81.03,18.97,,,
President,Alabama,20041102,"64,742",ST. CLAIR,N/A,"29,161","23,500","Bush, George W.",Incumbent,"5,456","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,205,"18,044",R,80.59,18.71,0.00,0.70,81.16,18.84,,,
President,Alabama,20041102,"14,798",SUMTER,N/A,"6,433","1,880","Bush, George W.",Incumbent,"4,527","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,26,"2,647",D,29.22,70.37,0.00,0.40,29.34,70.66,,,
President,Alabama,20041102,"80,321",TALLADEGA,N/A,"29,898","18,331","Bush, George W.",Incumbent,"11,374","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,193,"6,957",R,61.31,38.04,0.00,0.65,61.71,38.29,,,
President,Alabama,20041102,"41,475",TALLAPOOSA,N/A,"17,952","12,392","Bush, George W.",Incumbent,"5,451","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,109,"6,941",R,69.03,30.36,0.00,0.61,69.45,30.55,,,
President,Alabama,20041102,"164,875",TUSCALOOSA,N/A,"69,830","42,877","Bush, George W.",Incumbent,"26,447","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,506,"16,430",R,61.40,37.87,0.00,0.72,61.85,38.15,,,
President,Alabama,20041102,"70,713",WALKER,N/A,"28,367","19,167","Bush, George W.",Incumbent,"9,016","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,184,"10,151",R,67.57,31.78,0.00,0.65,68.01,31.99,,,
President,Alabama,20041102,"18,097",WASHINGTON,N/A,"8,247","5,060","Bush, George W.",Incumbent,"3,145","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,42,"1,915",R,61.36,38.14,0.00,0.51,61.67,38.33,,,
President,Alabama,20041102,"13,183",WILCOX,N/A,"5,682","1,834","Bush, George W.",Incumbent,"3,838","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,10,"2,004",D,32.28,67.55,0.00,0.18,32.33,67.67,,,
President,Alabama,20041102,"24,843",WINSTON,N/A,"10,423","8,130","Bush, George W.",Incumbent,"2,236","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,57,"5,894",R,78.00,21.45,0.00,0.55,78.43,21.57,,,
President,Alaska,20041102,N/A,ABSENTEE,N/A,"94,677","56,029","Bush, George W.",Incumbent,"35,351","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,"3,297","20,678",R,59.18,37.34,0.00,3.48,61.31,38.69,,,
President,Alaska,20041102,N/A,Election District 1,19920629,"4,988","3,389","Bush, George W.",Incumbent,"1,399","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,200,"1,990",R,67.94,28.05,0.00,4.01,70.78,29.22,,,
President,Alaska,20041102,N/A,Election District 10,19920629,"4,045","2,693","Bush, George W.",Incumbent,"1,236","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,116,"1,457",R,66.58,30.56,0.00,2.87,68.54,31.46,,,
President,Alaska,20041102,N/A,Election District 11,19920629,"6,744","5,325","Bush, George W.",Incumbent,"1,229","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,190,"4,096",R,78.96,18.22,0.00,2.82,81.25,18.75,,,
President,Alaska,20041102,N/A,Election District 12,19920629,"5,352","3,926","Bush, George W.",Incumbent,"1,262","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,164,"2,664",R,73.36,23.58,0.00,3.06,75.67,24.33,,,
President,Alaska,20041102,N/A,Election District 13,19920629,"6,617","4,756","Bush, George W.",Incumbent,"1,647","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,214,"3,109",R,71.88,24.89,0.00,3.23,74.28,25.72,,,
President,Alaska,20041102,N/A,Election District 14,19920629,"6,240","4,734","Bush, George W.",Incumbent,"1,338","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,168,"3,396",R,75.87,21.44,0.00,2.69,77.96,22.04,,,
President,Alaska,20041102,N/A,Election District 15,19920629,"6,401","4,455","Bush, George W.",Incumbent,"1,670","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,276,"2,785",R,69.60,26.09,0.00,4.31,72.73,27.27,,,
President,Alaska,20041102,N/A,Election District 16,19920629,"7,125","5,133","Bush, George W.",Incumbent,"1,779","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,213,"3,354",R,72.04,24.97,0.00,2.99,74.26,25.74,,,
President,Alaska,20041102,N/A,Election District 17,19920629,"6,392","4,618","Bush, George W.",Incumbent,"1,633","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,141,"2,985",R,72.25,25.55,0.00,2.21,73.88,26.12,,,
President,Alaska,20041102,N/A,Election District 18,19920629,"3,189","2,231","Bush, George W.",Incumbent,902,"Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,56,"1,329",R,69.96,28.28,0.00,1.76,71.21,28.79,,,
President,Alaska,20041102,N/A,Election District 19,19920629,"5,197","3,148","Bush, George W.",Incumbent,"1,893","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,156,"1,255",R,60.57,36.42,0.00,3.00,62.45,37.55,,,
President,Alaska,20041102,N/A,Election District 2,19920629,"5,878","3,214","Bush, George W.",Incumbent,"2,403","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,261,811,R,54.68,40.88,0.00,4.44,57.22,42.78,,,
President,Alaska,20041102,N/A,Election District 20,19920629,"3,540","1,999","Bush, George W.",Incumbent,"1,377","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,164,622,R,56.47,38.90,0.00,4.63,59.21,40.79,,,
President,Alaska,20041102,N/A,Election District 21,19920629,"5,976","3,697","Bush, George W.",Incumbent,"2,145","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,134,"1,552",R,61.86,35.89,0.00,2.24,63.28,36.72,,,
President,Alaska,20041102,N/A,Election District 22,19920629,"4,533","2,369","Bush, George W.",Incumbent,"2,003","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,161,366,R,52.26,44.19,0.00,3.55,54.19,45.81,,,
President,Alaska,20041102,N/A,Election District 23,19920629,"4,524","2,008","Bush, George W.",Incumbent,"2,361","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,155,353,D,44.39,52.19,0.00,3.43,45.96,54.04,,,
President,Alaska,20041102,N/A,Election District 24,19920629,"4,884","2,847","Bush, George W.",Incumbent,"1,886","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,151,961,R,58.29,38.62,0.00,3.09,60.15,39.85,,,
President,Alaska,20041102,N/A,Election District 25,19920629,"4,485","2,323","Bush, George W.",Incumbent,"1,965","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,197,358,R,51.79,43.81,0.00,4.39,54.17,45.83,,,
President,Alaska,20041102,N/A,Election District 26,19920629,"6,023","2,981","Bush, George W.",Incumbent,"2,864","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,178,117,R,49.49,47.55,0.00,2.96,51.00,49.00,,,
President,Alaska,20041102,N/A,Election District 27,19920629,"5,677","3,592","Bush, George W.",Incumbent,"1,918","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,167,"1,674",R,63.27,33.79,0.00,2.94,65.19,34.81,,,
President,Alaska,20041102,N/A,Election District 28,19920629,"6,358","4,183","Bush, George W.",Incumbent,"2,019","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,156,"2,164",R,65.79,31.76,0.00,2.45,67.45,32.55,,,
President,Alaska,20041102,N/A,Election District 29,19920629,"4,623","2,970","Bush, George W.",Incumbent,"1,516","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,137,"1,454",R,64.24,32.79,0.00,2.96,66.21,33.79,,,
President,Alaska,20041102,N/A,Election District 3,19920629,"5,874","2,258","Bush, George W.",Incumbent,"3,429","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,187,"1,171",D,38.44,58.38,0.00,3.18,39.70,60.30,,,
President,Alaska,20041102,N/A,Election District 30,19920629,"6,113","3,945","Bush, George W.",Incumbent,"2,031","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,137,"1,914",R,64.53,33.22,0.00,2.24,66.01,33.99,,,
President,Alaska,20041102,N/A,Election District 31,19920629,"7,073","4,726","Bush, George W.",Incumbent,"2,214","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,133,"2,512",R,66.82,31.30,0.00,1.88,68.10,31.90,,,
President,Alaska,20041102,N/A,Election District 32,19920629,"7,832","4,560","Bush, George W.",Incumbent,"3,063","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,209,"1,497",R,58.22,39.11,0.00,2.67,59.82,40.18,,,
President,Alaska,20041102,N/A,Election District 33,19920629,"5,432","3,958","Bush, George W.",Incumbent,"1,283","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,191,"2,675",R,72.86,23.62,0.00,3.52,75.52,24.48,,,
President,Alaska,20041102,N/A,Election District 34,19920629,"5,680","4,304","Bush, George W.",Incumbent,"1,164","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,212,"3,140",R,75.77,20.49,0.00,3.73,78.71,21.29,,,
President,Alaska,20041102,N/A,Election District 35,19920629,"5,734","3,086","Bush, George W.",Incumbent,"2,373","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,275,713,R,53.82,41.38,0.00,4.80,56.53,43.47,,,
President,Alaska,20041102,N/A,Election District 36,19920629,"4,460","2,840","Bush, George W.",Incumbent,"1,452","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,168,"1,388",R,63.68,32.56,0.00,3.77,66.17,33.83,,,
President,Alaska,20041102,N/A,Election District 37,19920629,"3,296","1,986","Bush, George W.",Incumbent,"1,208","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,102,778,R,60.25,36.65,0.00,3.09,62.18,37.82,,,
President,Alaska,20041102,N/A,Election District 38,19920629,"3,688","1,792","Bush, George W.",Incumbent,"1,723","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,173,69,R,48.59,46.72,0.00,4.69,50.98,49.02,,,
President,Alaska,20041102,N/A,Election District 39,19920629,"4,150","2,160","Bush, George W.",Incumbent,"1,746","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,244,414,R,52.05,42.07,0.00,5.88,55.30,44.70,,,
President,Alaska,20041102,N/A,Election District 4,19920629,"5,811","3,263","Bush, George W.",Incumbent,"2,353","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,195,910,R,56.15,40.49,0.00,3.36,58.10,41.90,,,
President,Alaska,20041102,N/A,Election District 40,19920629,"4,243","2,391","Bush, George W.",Incumbent,"1,680","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,172,711,R,56.35,39.59,0.00,4.05,58.73,41.27,,,
President,Alaska,20041102,N/A,Election District 5,19920629,"5,162","2,782","Bush, George W.",Incumbent,"2,138","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,242,644,R,53.89,41.42,0.00,4.69,56.54,43.46,,,
President,Alaska,20041102,N/A,Election District 6,19920629,"4,792","2,892","Bush, George W.",Incumbent,"1,685","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,215,"1,207",R,60.35,35.16,0.00,4.49,63.19,36.81,,,
President,Alaska,20041102,N/A,Election District 7,19920629,"7,526","4,536","Bush, George W.",Incumbent,"2,697","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,293,"1,839",R,60.27,35.84,0.00,3.89,62.71,37.29,,,
President,Alaska,20041102,N/A,Election District 8,19920629,"7,116","3,547","Bush, George W.",Incumbent,"3,251","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,318,296,R,49.85,45.69,0.00,4.47,52.18,47.82,,,
President,Alaska,20041102,N/A,Election District 9,19920629,"5,148","3,243","Bush, George W.",Incumbent,"1,739","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,166,"1,504",R,63.00,33.78,0.00,3.22,65.09,34.91,,,
President,Arizona,20041102,"69,423",APACHE,N/A,"24,198","8,384","Bush, George W.",Incumbent,"15,658","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,156,"7,274",D,34.65,64.71,0.00,0.64,34.87,65.13,,,
President,Arizona,20041102,"117,755",COCHISE,N/A,"44,483","26,556","Bush, George W.",Incumbent,"17,514","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,413,"9,042",R,59.70,39.37,0.00,0.93,60.26,39.74,,,
President,Arizona,20041102,"116,320",COCONINO,N/A,"52,267","22,526","Bush, George W.",Incumbent,"29,243","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,498,"6,717",D,43.10,55.95,0.00,0.95,43.51,56.49,,,
President,Arizona,20041102,"51,335",GILA,N/A,"20,843","12,343","Bush, George W.",Incumbent,"8,314","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,186,"4,029",R,59.22,39.89,0.00,0.89,59.75,40.25,,,
